id,text,created_at,retweeted,in_reply_to_screen_name,in_reply_to_status_id,retweeted_screen_name,quoted_status_screen_name,source,retweet_count,screen_name,followers_count,friends_count
582965513220956160,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility ) http://t.co/C0Lq1CtWyB",Tue Mar 31 17:59:43 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries012</a>",0,series011,59,119
582965504895262720,RT @EW: A revolution is taking place to bring more transgender stories to TV: http://t.co/NPkudlQ4Xx #transdayofvisibility http://t.co/kNj6…,Tue Mar 31 17:59:41 +0000 2015,False,,,EW,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,SigmaR3LLA,1223,920
582965503486005248,RT @deray: #TransDayOfVisibility.,Tue Mar 31 17:59:41 +0000 2015,False,,,deray,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,Oldlady12345,5089,260
582965500092788737,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility ( http://t.co/mzhGIRIruq",Tue Mar 31 17:59:40 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries012</a>",0,series011,59,119
582965500029878272,RT @autostraddle: .@lunchinthepark made you a #TransDayofVisibility playlist! Tune in to these trans artists: http://t.co/kEUKXJyInF http:/…,Tue Mar 31 17:59:40 +0000 2015,False,,,autostraddle,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,loudlysilent,14422,788
582965499849515008,"RT @jenalive11: ""The boundary to what we can accept is the boundary to our freedom"" - Tara Brach #learning #transdayofvisibility http://t.c…",Tue Mar 31 17:59:40 +0000 2015,False,,,jenalive11,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,aliicegreeen,548,1309
582965496594739200,RT @EW: A revolution is taking place to bring more transgender stories to TV: http://t.co/NPkudlQ4Xx #transdayofvisibility http://t.co/kNj6…,Tue Mar 31 17:59:40 +0000 2015,False,,,EW,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,itskera,793,297
582965490995322881,"RT @transcvlt: ""@lxzyfemme: For #transdayofvisibility could I have my trans people of color quote with a selfie? 💕"" http://t.co/drLFhJs1OO",Tue Mar 31 17:59:38 +0000 2015,False,,,saglegend,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,archfvcker,3679,417
582965486968803328,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility / http://t.co/kg5xYcw5PI",Tue Mar 31 17:59:37 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries012</a>",0,series011,59,119
582965484330598400,RT @canonquill: #transdayofvisibility jewish from the womb to the tomb- being trans doesn't mean alienation from the jewish community http:…,Tue Mar 31 17:59:37 +0000 2015,False,,,bagofboys,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",0,BeanSiCiuin,2194,349
